АВС/ DEF;От;До;Емкость;Оператор;Регион
900;0000000;0061999;62000;ООО "Т2 Мобайл";Краснодарский край
900;0062000;0062999;1000;ООО "Т2 Мобайл";Ростовская обл.
900;0063000;0099999;37000;ООО "Т2 Мобайл";Краснодарский край
900;0100000;0199999;100000;ООО "Т2 Мобайл";Тверская обл.
900;0200000;0299999;100000;ООО "Т2 Мобайл";Челябинская обл.
900;0300000;0499999;200000;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.
900;0500000;0599999;100000;ООО "Т2 Мобайл";Кемеровская обл.
900;0600000;0999999;400000;ООО "Т2 Мобайл";Челябинская обл.
900;1000000;1099999;100000;ООО "Т2 Мобайл";Кемеровская обл.
900;1100000;1199999;100000;ООО "Т2 Мобайл";Тверская обл.
900;1200000;1399999;200000;ООО "Т2 Мобайл";Ростовская обл.
900;1400000;1899999;500000;ООО "Т2 Мобайл";Ставропольский край
900;1900000;1909999;10000;ООО "Т2 Мобайл";Республика Адыгея
900;1910000;1919999;10000;ООО "Т2 Мобайл";Кабардино-Балкарская Республика
900;1920000;1929999;10000;ООО "Т2 Мобайл";Карачаево-Черкесская Республика
900;1930000;1939999;10000;ООО "Т2 Мобайл";Республика Северная Осетия - Алания
900;1940000;1949999;10000;ООО "Т2 Мобайл";Чеченская Республика
900;1950000;1959999;10000;ООО "Т2 Мобайл";Краснодарский край
900;1960000;1969999;10000;ООО "Т2 Мобайл";Республика Ингушетия
900;1970000;2169999;200000;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.
900;2170000;2187999;18000;ООО "Т2 Мобайл";Чеченская Республика
900;2188000;2189999;2000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область
900;2190000;2289999;100000;ООО "Т2 Мобайл";Смоленская обл.
900;2290000;2989999;700000;ООО "Т2 Мобайл";Краснодарский край
900;2990000;3099999;110000;ООО "Т2 Мобайл";Воронежская обл.
900;3100000;3149999;50000;ООО "Т2 Мобайл";Саратовская обл.
900;3150000;3199999;50000;ООО "Т2 Мобайл";Пензенская обл.
900;3200000;3299999;100000;ООО "Т2 Мобайл";Республика Татарстан
900;3300000;3349999;50000;ООО "Т2 Мобайл";Чувашская Республика
900;3350000;3359999;10000;ПАО "Вымпел-Коммуникации";Чукотский АО
900;3360000;3449999;90000;ПАО "Вымпел-Коммуникации";Хабаровский край
900;3450000;3549999;100000;ООО "Т2 Мобайл";Калининградская обл.
900;3550000;3749999;200000;ООО "Т2 Мобайл";Брянская обл.
